variable_combintion_num,AverageAccuracy,Series_ID
216,0.623076923,174
217,0.623076923,175
218,0.623076923,176
221,0.623076923,177
239,0.623076923,178
240,0.623076923,179
262,0.623076923,180
290,0.623076923,181
310,0.623076923,182
332,0.623076923,183
421,0.623076923,184
422,0.623076923,185
456,0.623076923,186
460,0.623076923,187
465,0.623076923,188
523,0.623076923,189
546,0.623076923,190
567,0.623076923,191
655,0.623076923,192
670,0.623076923,193
686,0.623076923,194
697,0.623076923,195
698,0.623076923,196
720,0.623076923,197
721,0.623076923,198
788,0.623076923,199
792,0.623076923,200
811,0.623076923,201
862,0.623076923,202
868,0.623076923,203
871,0.623076923,204
884,0.623076923,205
918,0.623076923,206
938,0.623076923,207
6,0.619230769,208
15,0.619230769,209
19,0.619230769,210
30,0.619230769,211
64,0.619230769,212
86,0.619230769,213
101,0.619230769,214
106,0.619230769,215
122,0.619230769,216
148,0.619230769,217
149,0.619230769,218
150,0.619230769,219
151,0.619230769,220
161,0.619230769,221
178,0.619230769,222
198,0.619230769,223
205,0.619230769,224
220,0.619230769,225
255,0.619230769,226
319,0.619230769,227
337,0.619230769,228
346,0.619230769,229
387,0.619230769,230
395,0.619230769,231
397,0.619230769,232
409,0.619230769,233
410,0.619230769,234
412,0.619230769,235
428,0.619230769,236
429,0.619230769,237
431,0.619230769,238
448,0.619230769,239
452,0.619230769,240
455,0.619230769,241
470,0.619230769,242
475,0.619230769,243
477,0.619230769,244
516,0.619230769,245
537,0.619230769,246
557,0.619230769,247
646,0.619230769,248
649,0.619230769,249
653,0.619230769,250
654,0.619230769,251
656,0.619230769,252
665,0.619230769,253
689,0.619230769,254
701,0.619230769,255
709,0.619230769,256
710,0.619230769,257
731,0.619230769,258
880,0.619230769,259
889,0.619230769,260
900,0.619230769,261
17,0.615384615,262
99,0.615384615,263
127,0.615384615,264
154,0.615384615,265
166,0.615384615,266
179,0.615384615,267
183,0.615384615,268
200,0.615384615,269
206,0.615384615,270
259,0.615384615,271
264,0.615384615,272
265,0.615384615,273
268,0.615384615,274
394,0.615384615,275
427,0.615384615,276
430,0.615384615,277
474,0.615384615,278
483,0.615384615,279
488,0.615384615,280
501,0.615384615,281
506,0.615384615,282
509,0.615384615,283
520,0.615384615,284
533,0.615384615,285
535,0.615384615,286
543,0.615384615,287
650,0.615384615,288
661,0.615384615,289
662,0.615384615,290
666,0.615384615,291
682,0.615384615,292
757,0.615384615,293
772,0.615384615,294
781,0.615384615,295
802,0.615384615,296
815,0.615384615,297
831,0.615384615,298
838,0.615384615,299
859,0.615384615,300
861,0.615384615,301
867,0.615384615,302
883,0.615384615,303
901,0.615384615,304
916,0.615384615,305
932,0.615384615,306
947,0.615384615,307
956,0.615384615,308
25,0.611538462,309
53,0.611538462,310
62,0.611538462,311
85,0.611538462,312
147,0.611538462,313
155,0.611538462,314
160,0.611538462,315
184,0.611538462,316
197,0.611538462,317
202,0.611538462,318
203,0.611538462,319
207,0.611538462,320
225,0.611538462,321
226,0.611538462,322
245,0.611538462,323
250,0.611538462,324
270,0.611538462,325
285,0.611538462,326
289,0.611538462,327
295,0.611538462,328
297,0.611538462,329
300,0.611538462,330
318,0.611538462,331
320,0.611538462,332
351,0.611538462,333
485,0.611538462,334
486,0.611538462,335
507,0.611538462,336
574,0.611538462,337
624,0.611538462,338
637,0.611538462,339
690,0.611538462,340
696,0.611538462,341
707,0.611538462,342
711,0.611538462,343
713,0.611538462,344
716,0.611538462,345
736,0.611538462,346
753,0.611538462,347
776,0.611538462,348
854,0.611538462,349
907,0.611538462,350
921,0.611538462,351
943,0.611538462,352
953,0.611538462,353
966,0.611538462,354
4,0.607692308,355
24,0.607692308,356
33,0.607692308,357
39,0.607692308,358
72,0.607692308,359
75,0.607692308,360
98,0.607692308,361
